"id";"descripcion";"codigo_arancelario_id";"id_control_id"
1;Control sanitario debido al riesgo de contaminación bacteriana en leche fresca de vaca;1156;1
2;Control sanitario debido al riesgo de contaminación bacteriana en leche en polvo y crema en polvo;1164;1
3;Control fitosanitario debido al riesgo de plagas en berenjenas;1569;2
4;Control fitosanitario debido al riesgo de plagas en mandarinas;1748;2
5;Control sanitario debido al riesgo de contaminación microbiológica en café sin descafeinar, tostado;1879;1
6;Control fitosanitario debido al riesgo de plagas en semillas de algodón, sin desmotar;2192;2
7;Control sanitario debido al riesgo de contaminación microbiológica en preparaciones de frutas, frutos secos o demás partes de plantas;3406;1
8;Control sanitario debido al riesgo de contaminación microbiológica en vino espumoso, en botellas de 0,75 litros;3532;1
9;Control sanitario debido al riesgo de contaminación química en sal común, sin refinar;3984;1
10;Control sanitario debido al riesgo de contaminación microbiológica en reactivos de diagnóstico o laboratorio en forma de preparaciones o reactivos químicos;6047;1
