id;id_destinatario;nombre;descripcion;direccion
1;Sabroso Algodón Burk;Datos;Czech Guinea-Bisau División;Artesanal Borders
2;Moda system Galicia;streamline Coche;Algodón Granito;hack intangible SDD
3;Organizado JBOD;services intuitive Bebes;incubate Bedfordshire clicks-and-mortar;action-items hacking Cliente
4;hack migración Métri;24/7 panel Berkshire;morph;syndicate Senior
5;Interno;Metal;Arrabal synthesize mediante;direccional Calidad
6;toda;acompasada Inversor;direccional Bedfordshire;Tácticas Operaciones
7;Argentina Sabroso;Productor compressing;24/7;channels generate Gibraltar
8;XSS Acero;adaptador Distrito Bedfordshire;RAM;Silla
9;Especialista Repúbli;Algodón hack;implement Paseo;Web
10;relationships;Azul HDD Música;País Automatizado;Oficial back-end program
