"id";"codigo";"nombre"
1;AA;afar
2;AB;abjasio
3;AE;avéstico
4;AF;afrikáans
5;AK;akan
6;AM;amhárico
7;AN;aragonés
8;AR;árabe
9;AS;asamés
10;AV;avar
11;AY;aimara
12;AZ;azerbaiyano
13;BA;baskir
14;BE;bielorruso
15;BG;búlgaro
16;BH;bihari
17;BI;bislama
18;BM;bambara
19;BN;bengalí
20;BO;tibetano
21;BR;bretón
22;BS;bosnio
23;CA;catalán
24;CE;checheno
25;CH;chamorro
26;CO;corso
27;CR;cree
28;CS;checo
29;CU;eslavo eclesiástico
30;CV;chuvasio
31;CY;galés
32;DA;danés
33;DE;alemán
34;DV;divehi
35;DZ;dzongkha
36;EE;eve
37;EL;griego
38;EN;inglés
39;EO;esperanto
40;ES;español
41;ET;estonio
42;EU;vasco
43;FA;persa
44;FF;fula
45;FI;finlandés
46;FJ;fiyiano
47;FO;feroés
48;FR;francés
49;FY;frisón occidental
50;GA;irlandés
51;GD;gaélico escocés
52;GL;gallego
53;GN;guaraní
54;GU;gujarati
55;GV;manés
56;HA;hausa
57;HE;hebreo
58;HI;hindi
59;HO;hiri motu
60;HR;croata
61;HT;haitiano
62;HU;húngaro
63;HY;armenio
64;HZ;herero
65;IA;interlingua
66;ID;indonesio
67;IE;interlingue
68;IG;igbo
69;II;yi de Sichuán
70;IK;inupiaq
71;IO;ido
72;IS;islandés
73;IT;italiano
74;IU;inuktitut
75;JA;japonés
76;JV;javanés
77;KA;georgiano
78;KG;kongo
79;KI;kikuyu
80;KJ;kuanyama
81;KK;kazajo
82;KL;groenlandés
83;KM;jemer
84;KN;canarés
85;KO;coreano
86;KR;kanuri
87;KS;cachemiro
88;KU;kurdo
89;KV;komi
90;KW;córnico
91;KY;kirghiz
92;LA;latín
93;LB;luxemburgués
94;LG;luganda
95;LI;limburgués
96;LN;lingala
97;LO;lao
98;LT;lituano
99;LU;luba-katanga
100;LV;letón
101;MG;malgache
102;MH;marshalés
103;MI;maorí
104;MK;macedonio
105;ML;malayalam
106;MN;mongol
107;MO;moldavo
108;MR;maratí
109;MS;malayo
110;MT;maltés
111;MY;birmano
112;NA;nauruano
113;NB;bokmål noruego
114;ND;ndebele del norte
115;NE;nepalí
116;NG;ndonga
117;NL;neerlandés
118;NN;nynorsk noruego
119;NO;noruego
120;NR;ndebele del sur
121;NV;navajo
122;NY;chichewa
123;OC;occitano
124;OJ;ojibwa
125;OM;oromo
126;OR;oriya
127;OS;osético
128;PA;panyabí
129;PI;pali
130;PL;polaco
131;PS;pashto
132;PT;portugués
133;QU;quechua
134;RM;retorrománico
135;RN;kirundi
136;RO;rumano
137;RU;ruso
138;RW;kinyarwanda
139;SA;sánscrito
140;SC;sardo
141;SD;sindhi
142;SE;sami septentrional
143;SG;sango
144;SH;serbocroata
145;SI;cingalés
146;SK;eslovaco
147;SL;esloveno
148;SM;samoano
149;SN;shona
150;SO;somalí
151;SQ;albanés
152;SR;serbio
153;SS;swati
154;ST;sesotho
155;SU;sundanés
156;SV;sueco
157;SW;suajili
158;TA;tamil
159;TE;telugu
160;TG;tayiko
161;TH;tailandés
162;TI;tigriña
163;TK;turcomano
164;TL;tagalo
165;TN;setchwana
166;TO;tongano
167;TR;turco
168;TS;tsonga
169;TT;tártaro
170;TW;twi
171;TY;tahitiano
172;UG;uigur
173;UK;ucraniano
174;UR;urdu
175;UZ;uzbeko
176;VE;venda
177;VI;vietnamita
178;VO;volapük
179;WA;valón
180;WO;wólof
181;XH;xhosa
182;YI;yídish
183;YO;yoruba
184;ZA;zhuang
185;ZH;chino
186;ZU;zulú
