"id";"codigo_arancelario";"nivel";"c_n_code";"longitud_cn_code";"descripcion";"parent_id"
1;"010011000090";1;I;1;SECCIÓN I - ANIMALES VIVOS Y PRODUCTOS DEL REINO ANIMAL;
2;"010021000090";2;"01";2;CAPÍTULO 1 - ANIMALES VIVOS;1
3;"010100000080";3;"0101";4;Caballos, asnos, mulos y burdéganos, vivos;2
4;"010121000010";4;"";0;- Caballos;3
5;"010121000080";5;"0101 21 00";10;-- Reproductores de raza pura;4
6;"010129000080";5;"0101 29";7;-- Los demás;4
7;"010129100080";6;"0101 29 10";10;--- Que se destinen al matadero;6
8;"010129900080";6;"0101 29 90";10;--- Los demás;6
9;"010130000080";4;"0101 30 00";10;- Asnos;3
10;"010190000080";4;"0101 90 00";10;- Los demás;3
11;"010200000080";3;"0102";4;Animales vivos de la especie bovina;2
12;"010221000010";4;"";0;- Bovinos domésticos;11
13;"010221000080";5;"0102 21";7;-- Reproductores de raza pura;12
14;"010221100080";6;"0102 21 10";10;--- Terneras (que no hayan parido nunca);13
15;"010221300080";6;"0102 21 30";10;--- Vacas;13
16;"010221900080";6;"0102 21 90";10;--- Los demás;13
17;"010229000080";5;"0102 29";7;-- Los demás;12
18;"010229050080";6;"0102 29 05";10;--- De los subgéneros Bibos o Poephagus;17
19;"010229100010";6;"";0;--- Los demás;17
20;"010229100080";7;"0102 29 10";10;---- De peso inferior o igual a 80 kg;19
21;"010229210010";7;"";0;---- De peso superior a 80 kg pero inferior o igual a 160 kg;19
22;"010229210080";8;"0102 29 21";10;----- Que se destinen al matadero;21
23;"010229290080";8;"0102 29 29";10;----- Los demás;21
24;"010229410010";7;"";0;---- De peso superior a 160 kg pero inferior o igual a 300 kg;19
25;"010229410080";8;"0102 29 41";10;----- Que se destinen al matadero;24
26;"010229490080";8;"0102 29 49";10;----- Los demás;24
27;"010229510010";7;"";0;---- De peso superior a 300 kg;19
28;"010229510020";8;"";0;----- Terneras (que no hayan parido nunca);27
29;"010229510080";9;"0102 29 51";10;------ Que se destinen al matadero;28
30;"010229590080";9;"0102 29 59";10;------ Los demás;28
31;"010229610010";8;"";0;----- Vacas;27
32;"010229610080";9;"0102 29 61";10;------ Que se destinen al matadero;31
33;"010229690080";9;"0102 29 69";10;------ Las demás;31
34;"010229910010";8;"";0;----- Los demás;27
35;"010229910080";9;"0102 29 91";10;------ Que se destinen al matadero;34
36;"010229990080";9;"0102 29 99";10;------ Los demás;34
37;"010231000010";4;"";0;- Búfalos;11
38;"010231000080";5;"0102 31 00";10;-- Reproductores de raza pura;37
39;"010239000080";5;"0102 39";7;-- Los demás;37
40;"010239100080";6;"0102 39 10";10;--- De las especies domésticas;39
41;"010239900080";6;"0102 39 90";10;--- Los demás;39
42;"010290000080";4;"0102 90";7;- Los demás;11
43;"010290200080";5;"0102 90 20";10;-- Reproductores de raza pura;42
44;"010290910010";5;"";0;-- Los demás;42
45;"010290910080";6;"0102 90 91";10;--- De las especies domésticas;44
46;"010290990080";6;"0102 90 99";10;--- Los demás;44
47;"010300000080";3;"0103";4;Animales vivos de la especie porcina;2
48;"010310000080";4;"0103 10 00";10;- Reproductores de raza pura;47
49;"010391000010";4;"";0;- Los demás;47
50;"010391000080";5;"0103 91";7;-- De peso inferior a 50 kg;49
51;"010391100080";6;"0103 91 10";10;--- De las especies domésticas;50
52;"010391900080";6;"0103 91 90";10;--- Los demás;50
53;"010392000080";5;"0103 92";7;-- De peso superior o igual a 50 kg;49
54;"010392110010";6;"";0;--- De las especies domésticas;53
55;"010392110080";7;"0103 92 11";10;---- Cerdas que hayan parido por lo menos una vez y con un peso superior o igual a 160 kg;54
56;"010392190080";7;"0103 92 19";10;---- Los demás;54
57;"010392900080";6;"0103 92 90";10;--- Los demás;53
58;"010400000080";3;"0104";4;Animales vivos de las especies ovina o caprina;2
59;"010410000080";4;"0104 10";7;- De la especie ovina;58
60;"010410100080";5;"0104 10 10";10;-- Reproductores de raza pura;59
61;"010410300010";5;"";0;-- Los demás;59
62;"010410300080";6;"0104 10 30";10;--- Corderos (que no tengan más de un año);61
63;"010410800080";6;"0104 10 80";10;--- Los demás;61
64;"010420000080";4;"0104 20";7;- De la especie caprina;58
65;"010420100080";5;"0104 20 10";10;-- Reproductores de raza pura;64
66;"010420900080";5;"0104 20 90";10;-- Los demás;64
67;"010500000080";3;"0105";4;Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos;2
68;"010511000010";4;"";0;- De peso inferior o igual a 185 g;67
69;"010511000080";5;"0105 11";7;-- Aves de la especie Gallus domesticus;68
70;"010511110010";6;"";0;--- Pollitos hembras de selección y de multiplicación;69
71;"010511110080";7;"0105 11 11";10;---- Razas ponedoras;70
72;"010511190080";7;"0105 11 19";10;---- Los demás;70
73;"010511910010";6;"";0;--- Los demás;69
74;"010511910080";7;"0105 11 91";10;---- Razas ponedoras;73
75;"010511990080";7;"0105 11 99";10;---- Los demás;73
76;"010512000080";5;"0105 12 00";10;-- Pavos (gallipavos);68
77;"010513000080";5;"0105 13 00";10;-- Patos;68
78;"010514000080";5;"0105 14 00";10;-- Gansos;68
79;"010515000080";5;"0105 15 00";10;-- Pintadas;68
80;"010594000010";4;"";0;- Los demás;67
81;"010594000080";5;"0105 94 00";10;-- Aves de la especie Gallus domesticus;80
82;"010599000080";5;"0105 99";7;-- Los demás;80
83;"010599100080";6;"0105 99 10";10;--- Patos;82
84;"010599200080";6;"0105 99 20";10;--- Gansos;82
85;"010599300080";6;"0105 99 30";10;--- Pavos (gallipavos);82
86;"010599500080";6;"0105 99 50";10;--- Pintadas;82
87;"010600000080";3;"0106";4;Los demás animales vivos;2
88;"010611000010";4;"";0;- Mamíferos;87
89;"010611000080";5;"0106 11 00";10;-- Primates;88
90;"010612000080";5;"0106 12 00";10;"-- Ballenas, delfines y marsopas (mamíferos del orden Cetacea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)";88
91;"010613000080";5;"0106 13 00";10;-- Camellos y demás camélidos (Camelidae);88
92;"010614000080";5;"0106 14";7;-- Conejos y liebres;88
93;"010614100080";6;"0106 14 10";10;--- Conejos domésticos;92
94;"010614900080";6;"0106 14 90";10;--- Los demás;92
95;"010619000080";5;"0106 19 00";10;-- Los demás;88
96;"010620000080";4;"0106 20 00";10;- Reptiles (incluidas las serpientes y tortugas de mar);87
97;"010631000010";4;"";0;- Aves;87
98;"010631000080";5;"0106 31 00";10;-- Aves de rapiña;97
99;"010632000080";5;"0106 32 00";10;-- Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos);97
100;"010633000080";5;"0106 33 00";10;"-- Avestruces; emúes (Dromaius novaehollandiae)";97
101;"010639000080";5;"0106 39";7;-- Las demás;97
102;"010639100080";6;"0106 39 10";10;--- Palomas;101
103;"010639800080";6;"0106 39 80";10;--- Los demás;101
104;"010641000010";4;"";0;- Insectos;87
105;"010641000080";5;"0106 41 00";10;-- Abejas;104
106;"010649000080";5;"0106 49 00";10;-- Los demás;104
107;"010690000080";4;"0106 90 00";10;- Los demás;87
108;"020021000090";2;"02";2;CAPÍTULO 2 - CARNE Y DESPOJOS COMESTIBLES;1
109;"020100000080";3;"0201";4;Carne de animales de la especie bovina, fresca o refrigerada;108
110;"020110000080";4;"0201 10 00";10;- En canales o medias canales;109
111;"020120000080";4;"0201 20";7;- Los demás cortes (trozos) sin deshuesar;109
112;"020120200080";5;"0201 20 20";10;-- Cuartos llamados «compensados»;111
113;"020120300080";5;"0201 20 30";10;-- Cuartos delanteros, unidos o separados;111
114;"020120500080";5;"0201 20 50";10;-- Cuartos traseros, unidos o separados;111
115;"020120900080";5;"0201 20 90";10;-- Los demás;111
116;"020130000080";4;"0201 30 00";10;- Deshuesada;109
117;"020200000080";3;"0202";4;Carne de animales de la especie bovina, congelada;108
118;"020210000080";4;"0202 10 00";10;- En canales o medias canales;117
119;"020220000080";4;"0202 20";7;- Los demás cortes (trozos) sin deshuesar;117
120;"020220100080";5;"0202 20 10";10;-- Cuartos llamados «compensados»;119
121;"020220300080";5;"0202 20 30";10;-- Cuartos delanteros unidos o separados;119
122;"020220500080";5;"0202 20 50";10;-- Cuartos traseros unidos o separados;119
123;"020220900080";5;"0202 20 90";10;-- Los demás;119
124;"020230000080";4;"0202 30";7;- Deshuesada;117
125;"020230100080";5;"0202 30 10";10;-- Cuartos delanteros enteros o cortados en cinco trozos como máximo, presentándose cada cuarto delantero en un solo bloque de congelación, cuartos llamados «compensados» presentados en dos bloques de congelación que contengan, uno, el cuarto delantero completo o cortado en cinco trozos como máximo y, el otro, el cuarto trasero en un solo trozo (excepto el del solomillo);124
126;"020230500080";5;"0202 30 50";10;-- Cortes de cuartos delanteros y cortes de pecho, llamados «australianos»;124
127;"020230900080";5;"0202 30 90";10;-- Las demás;124
128;"020300000080";3;"0203";4;Carne de animales de la especie porcina, fresca, refrigerada o congelada;108
129;"020311000010";4;"";0;- Fresca o refrigerada;128
130;"020311000080";5;"0203 11";7;-- En canales o medias canales;129
131;"020311100080";6;"0203 11 10";10;--- De animales de la especie porcina doméstica;130
132;"020311900080";6;"0203 11 90";10;--- Las demás;130
133;"020312000080";5;"0203 12";7;-- Piernas, paletas, y sus trozos, sin deshuesar;129
134;"020312110010";6;"";0;--- De animales de la especie porcina doméstica;133
135;"020312110080";7;"0203 12 11";10;---- Piernas y trozos de pierna;134
136;"020312190080";7;"0203 12 19";10;---- Paletas y trozos de paleta;134
137;"020312900080";6;"0203 12 90";10;--- Las demás;133
138;"020319000080";5;"0203 19";7;-- Las demás;129
139;"020319110010";6;"";0;--- De animales de la especie porcina doméstica;138
140;"020319110080";7;"0203 19 11";10;---- Partes delanteras y trozos de partes delanteras;139
141;"020319130080";7;"0203 19 13";10;---- Chuleteros y trozos de chuletero;139
142;"020319150080";7;"0203 19 15";10;---- Panceta y trozos de panceta;139
143;"020319550010";7;"";0;---- Las demás;139
